company
name|description
1lash,llc|1 stop Lash supply .
29Eleven Ventures LLC|29Eleven The Salon is an Influance Hair Care Brand Approved Salon and Retailer. It's also home to The Healthy Hair Coach and Curl Code Education Brand.
4MAS|4MAS Grooming Inc. is known for their unique invention the "CutBrush", which is one of the world's first clipper and brush combined patented product designed for the DIY's that want to save time and money. They also design and produce top quality clippers, trimmers and hair-beard products for professional barbers as well as for home based users that want to look good and feel good! We strive to make it EASY for you to LOOK GOOD!
Alpha Series Pro|Styling Tools & Beauty Products
Andis|Andis® is a four-generation, family-led business and a market leader in barbering, styling and grooming. Our industry-leading clippers, trimmers and styling accessories are used by both professionals and DIYers across the globe. As the #1 preferred brand for textured hair, we remain committed to leading the category while ensuring quality, durability, and innovation.
Anti Broke Barbers Club|Barber Branding company that sells apparel and barber products
Artistic Rootz LLC|We are a brand that host artistic creations from Napp2reality from head to toe for the modern day stylist.
ashtae products, Inc|hair care products and hands-on classes
ASP Mgmt & Institute of Trichology Studies|A promotional company that promotes hair and beauty brands throughout the Cosmetology & Barber Industry. We work to get your brand, you class, or your event seen.
B RICH COSMETICS|BRC is an ultimate wellness skincare company! The clinic provides skin rejuvenation, skin tightening, body contouring, injectables, botox and much more. Founder and CEO Brenda Richards from Northridge, California, developed a natural and organic line of products to support the clinical services. The products are amazing and now available worldwide to consumers, distributors and retailers! We create the beauty in you with quality products tailored to your needs. Our skincare products renew your confidence and takes your beauty to the next level! B Rich B Golden!!
Beaute Tsuru|Hair Shears, Razors, Manicure, Pedicure, skin care tools. Clippers and Leather shear Cases.
Beauty Bling LLC/Paparazzi Accessories|We offer Fun, Affordable, Fashionable Accessories. Necklaces, Earrings, Rings, Bracelets and Hair Accessories!
Beauty By Benjamin LLC|Beauty By Benjamin Offers reasonably priced and innovative hair care products. The company offers a variety of different products that can be used for all of the styling needs of barbers, beauticians, and individuals who style their hair. The products are multi-functional so it allows customers to save space, time and money. The company strives to offer a product line that is innovative while taking care of all hair styling needs. The company is owned entirely by Benjamin Harris a licensed barber who understands the importance of having the right products to effectively style hair.
Bee Kynd|Bee Kynd is a beauty and wellness lifestyle brand that seeks to empower women to integrate cannabis into their daily self care practices to optimize well-being.  Our natural CBD-infused products offer a safe method to experience the therapeutic benefits of this amazing plant.  Our product line includes luxurious body butters, soothing relief remedies, wellness oils, herbal teas and tinctures.  We are passionate about creating beautiful, elevated products that help women live better.  CBD will not get high, but it will elevate your lifestyle.
Berry's HAIR|wig, bundles,lace and so on Berrys Fashion Hair Company is engaged in the production and sales of hair products. We sell our products all over the world through multiple platforms. We have been in the hair industry for 11 years, with rich experience in the hair extension field. Our products mainly include wigs, bundles, lace closures, lace frontals, and so on.
BLUSH THE BRAND|Blush The Brand is a Beauty, Health, And Wellness Powerhouse where your beauty matters. We focus on making you feel and look great from the inside and outside with our amazing products and services. Inspired by beauty that surrounds us our Blush Experience treatments are designed to nurture the mind and body through the use of healthy products and services.
Bossy Extensions|Styling Tools Wigs/Hair Extensions Hair Gallery
Bovanti|Cosmetics, Brows, Lashes & Hair Fantasia Products
Braids, Weaves and Things, Inc.|Natural Products, Barbering Supplied
Bric McMann|Salon Goods  Apparel, Hair, Shears
Bronner Books|No extended description available for this exhibitor
BUILDYOURBRANDTODAY.COM|WE PRIVATE LABEL ALL HAIR PRODUCTS YOU SEE IN BEAUTY SUPPLY STORES.
BULLTEES|We create amazing Rhinestone Apparel for Women and Men!
Caliber|Barbering Supplies Cutting Tools Styling Tools
Carry Him|No extended description available for this exhibitor
Century Systems|No extended description available for this exhibitor
CHANDRA HAIR|We are a human hair extensions manufacturer and distributor from India with a new location in the US. We mostly cater to hair professionals such as hair businesses and hairstylist.
Change Is Everything|Hair Products Appeal
Charlene Products|Charlene Products is leading the industry in innovation and manufacturing in the beauty industry. 40 years of manufacturing experience in all things hair and beauty with proven ability to design, develop and manufacture a variety of tools and supplies within the beauty industry. Charlene mannequins are made with top quality materials giving you the absolute best results whether it is on stage or in a class room. Charlene Stylist wear is leading the industry in form and function, with the newest styles and colors on the market to keep you looking amazing.  Visit us at www.charleneproducts.com. Call us at (800) 888-6188 or email charlene@charleneproducts.com
Chasing Curlz|Say goodbye to drying sulfates, mineral oils, and dyes and say hello to our paraben and paraffin-free hair care created with naturally curly hair in mind! As a curly headed girl, we want our "curlz" to be thick, manageable, strong, and lengthy. Our 100% natural hair care collection promises to cleanse, revitalize, and moisturize your hair better than any products you have ever used before!
Chazap Inc.|Barbering Supplies Skin Care
City Supplies|Rhinestone T-shirts and screen printed shirts hats hoodies
Classic Jasmine|Synthetic Braiding Hair Retailer and wholesaler.  The product I would like to exhibit for the show is Richbraid prestretched braiding hair 100% affrelle. 20+ colors are available in this line.
Cliff Vmir|FEMME by Cliff Vmir
CMRignite/We Can Do this|We Can Do This is a COVID-19 vaccination awareness campaign that helps educate, engage and get African Americans vaccinated. At our booth/space we will distribute swag and COVID-19 resources as well as bring a vaccine provider to administer vaccines for those interested.
Colorblast Pro. Academy Beauty & Care|Colorblast Pro Academy was founded by Dainelle LAShay, a Master Cosmetologist, and Pro. Make-up Artist who specializes in helping professional's with the tools resources and guidance needed to successful in the Beauty Industry.  Our courses are available online and in person for individuals seeking to enhance their skills in MicroInterlocks, Coloring and Makeup Artistry or simply increasing their income!  Colorblast Beauty and Care offers a variety of our pigmented Eye Dazzle Glitters, Makeup Tools and accessories. Colorblast Loc's of Beauty and care line offers top quality Lock and scalp care and specifically formulated for MicroInterlocks and Traditional Locks maintanence.
Conceit Boutique|Fashion
cut creaters|hair products
CyLady|Import and distributor of beauty supply items
Denim jewelry &accessories|Bling tshirts & Dresses
